number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_bifurcations_NeuriteType_axon_value,number_of_bifurcations_NeuriteType_all_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_axon_value,number_of_forking_points_NeuriteType_all_value,number_of_neurites_NeuriteType_apical_dendrite_value,number_of_neurites_NeuriteType_basal_dendrite_value,number_of_neurites_NeuriteType_axon_value,number_of_neurites_NeuriteType_all_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_axon_value,number_of_sections_NeuriteType_all_value,number_of_terminations_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_axon_value,number_of_terminations_NeuriteType_all_value,total_length_NeuriteType_apical_dendrite_value,total_length_NeuriteType_basal_dendrite_value,total_length_NeuriteType_axon_value,total_length_NeuriteType_all_value,neurite_lengths_NeuriteType_apical_dendrite_mean,neurite_lengths_NeuriteType_basal_dendrite_mean,neurite_lengths_NeuriteType_axon_mean,neurite_lengths_NeuriteType_all_mean,number_of_sections_per_neurite_NeuriteType_apical_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_axon_mean,number_of_sections_per_neurite_NeuriteType_all_mean,principal_direction_extents_NeuriteType_apical_dendrite_mean,principal_direction_extents_NeuriteType_basal_dendrite_mean,principal_direction_extents_NeuriteType_axon_mean,principal_direction_extents_NeuriteType_all_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_all_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_axon_mean,section_branch_orders_NeuriteType_all_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_axon_mean,section_lengths_NeuriteType_all_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_axon_mean,section_path_distances_NeuriteType_all_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_all_mean,neuron_name
29,17,nan,46,29,17,nan,46,1,4,nan,5,59,38,nan,97,30,21,nan,51,4257.11644848,2360.41308609,nan,6617.52953457,4257.11644848,590.103271523,nan,1323.50590691,59.0,9.5,nan,19.4,480.115130191,220.959863994,nan,272.790917233,0.964254246412,0.927181613576,nan,0.950553490799,5.49152542373,2.36842105263,nan,4.26804123711,72.1545160759,62.1161338445,nan,68.2219539646,175.092614785,92.7337649649,nan,142.828323103,123.626608556,62.8197678927,nan,99.8053720076,140625b
36,19,nan,55,36,19,nan,55,1,5,nan,6,73,43,nan,116,37,24,nan,61,5210.73146916,2894.58526331,nan,8105.31673247,5210.73146916,578.917052661,nan,1350.88612208,73.0,8.6,nan,19.3333333333,593.416731134,216.884487216,nan,279.639861202,0.947432082736,0.915342462427,nan,0.936346577538,5.56164383562,2.04651162791,nan,4.25862068966,71.3798831392,67.315936356,nan,69.8734201075,223.181902742,106.337567394,nan,179.868916363,158.298803859,74.4515266055,nan,127.217485566,140630b
27,25,nan,52,28,25,nan,53,1,5,nan,6,59,55,nan,114,31,30,nan,61,3985.70046975,3732.05456425,nan,7717.75503399,3985.70046975,746.410912849,nan,1286.29250567,59.0,11.0,nan,19.0,646.941144615,262.623131193,nan,326.67613343,0.978077429813,1.0266875736,nan,1.00144769125,4.30508474576,2.21818181818,nan,3.29824561404,67.5542452499,67.8555375317,nan,67.6996055613,225.588107331,115.247845171,nan,172.353770324,160.081978816,79.0504636277,nan,120.987826752,140909a2A
32,31,nan,63,33,31,nan,64,1,5,nan,6,68,67,nan,135,35,36,nan,71,4486.01729715,4731.68268497,nan,9217.69998212,4486.01729715,946.336536994,nan,1536.28333035,68.0,13.4,nan,22.5,625.420437413,257.32338304,nan,318.672892102,1.01510637882,0.983231100789,nan,0.999421718202,7.13235294118,2.83582089552,nan,5.0,65.9708426052,70.6221296264,nan,68.2792591268,242.000721805,108.168608131,nan,175.580339463,173.59915306,75.5181371202,nan,124.921908112,140909a2B
20,27,nan,47,20,27,nan,47,1,8,nan,9,41,62,nan,103,21,35,nan,56,3240.28213683,4483.50288706,nan,7723.78502388,3240.28213683,560.437860882,nan,858.198335987,41.0,7.75,nan,11.4444444444,548.661148345,192.698689845,nan,232.250074123,0.9307839278,0.915699119401,nan,0.922118186805,5.12195121951,1.93548387097,nan,3.20388349515,79.0312716299,72.3145626944,nan,74.9882041154,231.219006931,110.199747812,nan,158.372462607,163.838485219,69.8780224164,nan,107.279760037,140909bA
27,32,nan,59,28,32,nan,60,1,5,nan,6,58,69,nan,127,30,37,nan,67,4293.68256635,4708.08980159,nan,9001.77236794,4293.68256635,941.617960318,nan,1500.29539466,58.0,13.8,nan,21.1666666667,538.160604036,227.898630423,nan,279.608959358,1.01350725978,0.765912425371,nan,0.879218536033,5.05172413793,2.66666666667,nan,3.75590551181,74.0290097647,68.2331855303,nan,70.8800973854,250.570336537,117.149345764,nan,178.081766747,159.33986923,74.6730142279,nan,113.339766906,140909bB
22,27,0,49,22,27,0,49,1,6,1,8,45,60,1,106,23,33,1,57,3323.99787091,4712.47523029,95.1738039008,8131.64690509,3323.99787091,785.412538381,95.1738039008,1016.45586314,45.0,10.0,1.0,13.25,559.038245623,282.371391592,90.5648738022,292.978933622,1.13752188486,1.05935951778,nan,1.09445282545,5.11111111111,2.13333333333,0.0,3.37735849057,73.8666193535,78.5412538381,95.1738039008,76.7136500481,216.211043499,125.222473097,95.1738039008,163.56621837,153.443719392,83.8588747782,88.6766733885,113.44506163,150130aA
18,20,nan,38,19,20,nan,39,1,5,nan,6,40,45,nan,85,21,25,nan,46,3509.56308986,3585.80055669,nan,7095.36364655,3509.56308986,717.160111337,nan,1182.56060776,40.0,9.0,nan,14.1666666667,536.213021197,217.544377056,nan,270.655817746,0.97888379311,0.973040787537,nan,0.975808527019,4.125,2.22222222222,nan,3.11764705882,87.7390772466,79.6844568152,nan,83.47486643,232.713843419,117.509928986,nan,171.723535778,151.957969123,75.3978242332,nan,111.426127711,150610aA
10,25,nan,35,11,25,nan,36,1,7,nan,8,24,57,nan,81,13,32,nan,45,2293.37450111,4200.6327574,nan,6494.00725852,2293.37450111,600.090393915,nan,811.750907315,24.0,8.14285714286,nan,10.125,456.043392441,195.726451453,nan,228.266069077,1.00756799452,0.848966456295,nan,0.894281181503,3.95833333333,1.9649122807,nan,2.55555555556,95.5572708797,73.6953115334,nan,80.1729291175,222.602030511,108.422569278,nan,142.253520755,172.027086528,68.2268099925,nan,98.9824474845,150610aB
22,15,nan,37,22,15,nan,37,1,5,nan,6,45,35,nan,80,23,20,nan,43,3386.69679577,2763.82721332,nan,6150.52400908,3386.69679577,552.765442663,nan,1025.08733485,45.0,7.0,nan,13.3333333333,521.92929147,205.62086996,nan,258.338940212,1.12298839511,0.982553611218,nan,1.06605537461,4.26666666667,1.65714285714,nan,3.125,75.2599287948,78.966491809,nan,76.8815501135,197.859583809,98.2906859905,nan,154.298191013,123.744218323,67.8421716355,nan,99.2870728975,150710a
