neuron_name,Basal_Density,Basal_Loss ,Basal_Gain ,Apical_Density,Apical_Loss ,Apical_Gain ,Axon_Density,Axon_Loss ,Axon_Gain ,Soma_depth,AD
140903a,0.97,10.1,12.1,1.2,8.1,9.1,0.24,13,14,280,1
140904c,1.16,7.88,7.55,1,18.6,19.45,0.23,13.65,15.3,192,1
140908a,1.2,10.3,11.2,1.3,13.5,14.3,0.3,11.5,11.77,200,1
140908b,1.25,17.5,9,0.875,19,14,0.3,16.83333333,16.33333333,236,1
141112a,1.3,7.97,7.37,1.45,8.1,8,0.325,8.2,10,114,0
141113a,1.15,7.3,7.35,1.1,14.2,13.73,0.34,5.7,5.7,160,1
141117a,1.4,6.5,5.5,1,9.5,11,0.3,6,8.5,196,1
141117b,1.45,7.25,9.25,1.15,14,16,0.3,14.25,14,186,1
141117c,1.52,8.86,9.43,1.44,8.38,8.77,0.23,11.15,15.81,123,2
150119b,1.4,13,9.5,1.2,20.5,20.5,0.35,29.75,10,147,1
150129a,2,16,14,2,15.5,14.5,0.25,16.75,19.75,140,0
150130aB,1.3,6,7,1.05,6.691297209,14.03940887,0.2,19.75,23.5,168,0
150318a,0.98,11.27,10.47,0.87,13.93,13.07,0.42,10.1,11.32,280,1
150423a1,1.3,12,19,1.3,15,19.5,0.3,16,14,140,1
150423a2,0.95,12.1,13.15,0.91,12,14.1,0.27,9.47,11.13,300,1
150423b,1.4,7.75,7.75,1.5,8.5,9.5,0.325,14,12.5,176,1
150424a,1.315,4.6,5.2,1.1,11.23,11.48,0.31,10.13,13.7,128,0
150428b1,1.05,9.97,13.88,1.1,12.77,14.53,0.36,13.05,12.74,164,1
150428b2,1.16,9.55,7.17,1.19,13.79,10.2,0.31,15.1,17.95,96,0
150527a,0.9,9.1,10.53,0.92,16.1,16.8,0.3,6.3,6.4,249,1
150528a,1.13,14.49,16.34,1.09,20.81,22.62,0.28,11.15,17.92,231,2
150601a,0.9,8.47,11,0.86,9.77,9.57,0.31,9,6.3,141,2
150601b,1.45,4.2,4.67,1.05,13.1,13.43,0.32,7.65,8.85,162,1
150610b1,1.04,12.31,10.69,1.15,19.9,15.52,0.21,17.08,20.41,114,1
150610b2,1.51,10.35,6.98,1.26,10.22,7.56,0.3,11.39,13.7,147,0
150611a,1.12,7.83,6.94,1,13.95,11.24,0.37,10.48,9.53,228,0
150611b,1.25,11.72,11.89,1.42,10.96,9.94,0.3,16.05,15.19,165,1
150701a,1.41,9.78,12.23,1.5,10.04,15.32,0.22,18.18,45.45,135,0
150703a,1.15,9.09,10.61,1.13,9.11,14.68,0.23,13.93,24.09,162,0
150703c,1.2,11.975,13.175,1.112,13.3,14.22,0.29,12.23,12.57,132,2
150709a,1.25,10.99,11.68,1.12,21.38,22.8,0.33,12.33,20.11,279,1
150709b1,1.22,10.32,13.23,1.17,12.8,13.52,0.35,15.06,11.97,207,1
150709b2,1.25,13.56,14.71,1.18,16.66,17.59,0.23,15.89,16.72,162,0
150721b,0.95,9.55,9.33,1.1,12.08,12.23,0.24,7.8,10,180,1
