,Correlation,p_value,Adj_rsquared,Field_A,Field_B
0,0.6797045180904667,1.8817161778462086e-05,0.44406483964301335,Soma_depth,section_lengths_NeuriteType_apical_dendrite_mean
1,0.6279788253544784,0.00011916914382920795,0.3741693185967099,Soma_depth,section_path_distances_NeuriteType_apical_dendrite_mean
2,0.7095103799629973,5.448786756091324e-06,0.4868518119177445,Soma_depth,section_radial_distances_NeuriteType_apical_dendrite_mean
3,0.5507707079594919,0.0008956495624761843,0.2808757396089806,Soma_depth,principal_direction_extents_NeuriteType_basal_dendrite_mean
4,0.6921602939152949,1.606016515206975e-05,0.46112331635128334,Soma_depth,section_lengths_NeuriteType_basal_dendrite_mean
5,0.5497766864900221,0.0009191023546991753,0.2797464825888495,Soma_depth,principal_direction_extents_NeuriteType_all_mean
6,0.5613421978588348,0.0006769663013718382,0.2930116780355998,Basal_Density,Apical_Density
7,0.9930068807487356,2.45700030151404e-30,0.9856130737696351,number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_apical_dendrite_value
8,0.983344689534731,1.597138524796364e-24,0.9659011906437743,number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_apical_dendrite_value
9,0.9701278174123759,1.2485622290713282e-20,0.9392495299275359,number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_apical_dendrite_value
10,0.8741735863879845,3.035280670600063e-11,0.7565723449170902,number_of_bifurcations_NeuriteType_apical_dendrite_value,total_length_NeuriteType_apical_dendrite_value
11,0.9977365556999371,6.470774132537328e-38,0.9953323711793273,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_apical_dendrite_value
12,0.9914495261346329,5.485689155427584e-29,0.9824228778039618,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_apical_dendrite_value
13,0.8972936786120616,1.5400409944305319e-12,0.7988500084409448,number_of_forking_points_NeuriteType_apical_dendrite_value,total_length_NeuriteType_apical_dendrite_value
14,0.9979801652720075,1.1095345801165269e-38,0.9958342299626772,number_of_sections_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_apical_dendrite_value
15,0.9059012582126058,4.2164696969715724e-13,0.814871834457995,number_of_sections_NeuriteType_apical_dendrite_value,total_length_NeuriteType_apical_dendrite_value
16,0.9102660805827476,2.0829937179240838e-13,0.8230547999581705,number_of_terminations_NeuriteType_apical_dendrite_value,total_length_NeuriteType_apical_dendrite_value
17,0.5664510397491039,0.0007255876706106461,0.2982290064472687,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_apical_dendrite_mean
18,0.5780393410253366,0.0005305615047476673,0.311933795765439,section_lengths_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_apical_dendrite_mean
19,0.6478140314651726,6.11431846523593e-05,0.4003184533419316,section_lengths_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_apical_dendrite_mean
20,0.9027038137162685,6.918428948124022e-13,0.8089023745010535,section_path_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_apical_dendrite_mean
21,0.556898066947966,0.0007623694358998941,0.287881762033942,section_path_distances_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_all_mean
22,0.582679355361506,0.0005827676524511974,0.316739894308104,section_path_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_all_mean
23,0.6124214932021387,0.00015184846315042104,0.3549007332499994,section_radial_distances_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_all_mean
