number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_bifurcations_NeuriteType_axon_value,number_of_bifurcations_NeuriteType_all_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_axon_value,number_of_forking_points_NeuriteType_all_value,number_of_neurites_NeuriteType_apical_dendrite_value,number_of_neurites_NeuriteType_basal_dendrite_value,number_of_neurites_NeuriteType_axon_value,number_of_neurites_NeuriteType_all_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_axon_value,number_of_sections_NeuriteType_all_value,number_of_terminations_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_axon_value,number_of_terminations_NeuriteType_all_value,total_length_NeuriteType_apical_dendrite_value,total_length_NeuriteType_basal_dendrite_value,total_length_NeuriteType_axon_value,total_length_NeuriteType_all_value,neurite_lengths_NeuriteType_apical_dendrite_mean,neurite_lengths_NeuriteType_basal_dendrite_mean,neurite_lengths_NeuriteType_axon_mean,neurite_lengths_NeuriteType_all_mean,number_of_sections_per_neurite_NeuriteType_apical_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_axon_mean,number_of_sections_per_neurite_NeuriteType_all_mean,principal_direction_extents_NeuriteType_apical_dendrite_mean,principal_direction_extents_NeuriteType_basal_dendrite_mean,principal_direction_extents_NeuriteType_axon_mean,principal_direction_extents_NeuriteType_all_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_all_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_axon_mean,section_branch_orders_NeuriteType_all_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_axon_mean,section_lengths_NeuriteType_all_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_axon_mean,section_path_distances_NeuriteType_all_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_all_mean,neuron_name
22,21,20,63,22,21,20,63,1,4,1,6,45,46,41,132,23,25,21,69,3814.28905978,3799.55289375,8068.5745474,15682.4165009,3814.28905978,949.888223438,8068.5745474,2613.73608349,45.0,11.5,41.0,22.0,629.406225407,345.177542269,961.269255048,495.230941588,1.16135403874,0.998955562324,1.59349981125,1.2444103474,5.82222222222,2.26086956522,4.63414634146,4.21212121212,84.7619791062,82.5989759511,196.794501156,118.806185613,253.085310722,142.911661582,618.965759303,328.336148081,176.542406352,97.0355954966,201.406749824,156.558503193,140903a
20,24,47,91,20,25,50,95,1,9,1,11,41,60,104,205,21,35,54,110,3234.44960958,4623.45655595,17081.2189186,24939.1250841,3234.44960958,513.717395105,17081.2189186,2267.19318947,41.0,6.66666666667,104.0,18.6363636364,667.11001589,220.7927027,1075.84257268,339.098810261,0.914303170702,0.980811874485,1.32147777946,1.1421429015,4.43902439024,1.61666666667,5.18269230769,3.99024390244,78.8890148679,77.0576092658,164.242489602,121.654268703,221.96512274,125.924976099,452.747180271,310.935489495,158.084252059,88.0488000866,176.812294861,147.087126854,140904c
23,25,39,87,24,25,42,91,2,6,1,9,51,56,88,195,27,31,46,104,4335.7679502,4106.44298961,16081.9298237,24524.1407635,2167.8839751,684.407164936,16081.9298237,2724.90452927,25.5,9.33333333333,88.0,21.6666666667,384.061532441,258.17773943,897.532144269,357.19129397,0.963293817324,1.05962244762,1.43971177236,1.20454112771,4.17647058824,2.42857142857,5.82954545455,4.42051282051,85.015057847,73.3293391003,182.749202542,125.764824428,206.858487382,115.066882968,490.508384701,308.503929007,150.265372461,84.3894220003,168.483140702,139.568502612,140908a
29,19,34,82,29,19,34,82,1,5,1,7,59,43,69,171,30,24,35,89,4391.5167176,3681.63846613,12372.5678596,20445.7230433,4391.5167176,736.327693226,12372.5678596,2920.81757762,59.0,8.6,69.0,24.4285714286,670.765181135,304.086582672,861.922894774,436.160141324,1.1691565949,0.997920644607,1.28383956433,1.1770314474,5.18644067797,1.86046511628,5.1884057971,4.35087719298,74.432486739,85.6194992124,179.312577675,119.565631832,202.765381947,124.729420525,419.897168355,270.756884409,140.266569955,88.4263187741,168.408735411,138.586327941,140908b
20,38,38,96,21,38,40,99,1,8,1,10,44,84,83,211,23,46,43,112,3002.8080745,5862.37429808,12601.2082491,21466.3906217,3002.8080745,732.796787261,12601.2082491,2146.63906217,44.0,10.5,83.0,21.1,464.141163097,269.527779359,944.520151362,356.488354933,0.972465978598,0.845158776137,1.33028569397,1.06371051496,6.18181818182,2.30952380952,8.5421686747,5.56872037915,68.2456380569,69.7901702153,151.821786134,101.736448444,161.883742189,108.060023384,368.348462493,221.672270178,122.342943318,80.2692421918,159.140657821,120.068153788,141112a
25,22,36,83,29,22,37,88,1,6,1,8,64,50,76,190,35,28,39,102,4809.00757981,3181.31209105,10116.2475147,18106.5671855,4809.00757981,530.218681841,10116.2475147,2263.32089819,64.0,8.33333333333,76.0,23.75,764.694790831,203.814397228,921.909596029,363.686346279,0.900648814105,0.885836520888,1.19865176275,1.02597695507,4.09375,2.08,4.97368421053,3.91578947368,75.1407434346,63.6262418209,133.10851993,95.2977220291,214.000246823,90.5970726182,433.941182632,269.502101619,147.265343468,65.2591005345,154.805157755,128.700678937,141113a
24,20,34,78,25,20,35,80,1,8,1,10,52,48,73,173,27,28,38,93,3721.49550849,3200.46304629,13040.5383365,19962.4968913,3721.49550849,400.057880786,13040.5383365,1996.24968913,52.0,6.0,73.0,17.3,544.187056733,186.551914131,879.073013297,291.567538308,1.11257000735,1.07515062864,1.34706326608,1.20519030507,5.32692307692,1.54166666667,4.95890410959,4.12138728324,71.5672213172,66.6763134643,178.637511459,115.390155441,221.606022601,94.4452059905,463.186514704,288.262997897,145.781432431,68.3946261416,177.563660903,137.720946746,141117a
35,27,50,112,35,28,50,113,1,6,1,8,71,63,101,235,36,35,51,122,5443.78534811,4366.26573504,17196.3611947,27006.4122779,5443.78534811,727.71095584,17196.3611947,3375.80153474,71.0,10.5,101.0,29.375,699.597468855,231.339565473,1060.4925404,393.515925261,1.00701270586,0.892636934417,1.27960944445,1.10113494783,5.40845070423,2.38095238095,5.30693069307,4.55319148936,76.673033072,69.3058053181,170.261001928,114.92090331,242.400011156,108.260838562,489.32012447,312.562409332,140.205243629,70.66810865,185.858423696,141.184527387,141117b
28,19,21,68,28,19,21,68,2,7,1,10,58,45,43,146,30,26,22,78,4011.95181398,2259.95153732,7108.19158057,13380.0949319,2005.97590699,322.850219617,7108.19158057,1338.00949319,29.0,6.42857142857,43.0,14.6,472.39516064,154.983923818,762.141127183,279.181891519,1.00557133836,1.09693472111,1.52700386162,1.19212997455,4.34482758621,1.73333333333,4.0,3.43835616438,69.1715829996,50.2211452737,165.306780944,91.6444858347,207.145972197,71.4231466132,320.062507131,198.569834189,136.036569924,51.4605321452,142.961073683,112.008021716,141117c
26,20,53,99,26,20,53,99,1,6,1,8,53,46,107,206,27,26,54,107,3921.16147766,3261.07344707,22451.8036326,29634.0385574,3921.16147766,543.512241178,22451.8036326,3704.25481967,53.0,7.66666666667,107.0,25.75,686.618832387,215.672899688,1041.78404893,377.805034931,1.01297739239,0.900584524978,1.56558831921,1.28611397596,5.09433962264,1.73913043478,6.35514018692,5.0,73.9841788238,70.8929010233,209.829940492,143.854556104,204.114064232,102.368521938,434.656243303,301.141822557,136.27561573,72.4246163,162.102153706,135.432380728,150119b
