neuron_name,number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_apical_dendrite_value,total_length_NeuriteType_apical_dendrite_value,principal_direction_extents_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,total_length_NeuriteType_basal_dendrite_value,principal_direction_extents_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,number_of_neurites_NeuriteType_basal_dendrite_value,neurite_lengths_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_bifurcations_NeuriteType_axon_value,number_of_forking_points_NeuriteType_axon_value,number_of_sections_NeuriteType_axon_value,number_of_terminations_NeuriteType_axon_value,total_length_NeuriteType_axon_value,principal_direction_extents_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_axon_mean,section_branch_orders_NeuriteType_axon_mean,section_lengths_NeuriteType_axon_mean,section_path_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_axon_mean
140903a,22,22,45,23,3814.28906,629.4062254,1.161354039,5.822222222,84.76197911,253.0853107,176.5424064,21,21,46,25,3799.552894,345.1775423,0.998955562,2.260869565,82.59897595,142.9116616,97.0355955,4,949.8882234,11.5,20,20,41,21,8068.574547,961.269255,1.593499811,4.634146341,196.7945012,618.9657593,201.4067498
140904c,20,20,41,21,3234.44961,667.1100159,0.914303171,4.43902439,78.88901487,221.9651227,158.0842521,24,25,60,35,4623.456556,220.7927027,0.980811874,1.616666667,77.05760927,125.9249761,88.04880009,9,513.7173951,6.666666667,47,50,104,54,17081.21892,1075.842573,1.321477779,5.182692308,164.2424896,452.7471803,176.8122949
140908a,23,24,51,27,4335.76795,384.0615324,0.963293817,4.176470588,85.01505785,206.8584874,150.2653725,25,25,56,31,4106.44299,258.1777394,1.059622448,2.428571429,73.3293391,115.066883,84.389422,6,684.4071649,9.333333333,39,42,88,46,16081.92982,897.5321443,1.439711772,5.829545455,182.7492025,490.5083847,168.4831407
140908b,29,29,59,30,4391.516718,670.7651811,1.169156595,5.186440678,74.43248674,202.7653819,140.26657,19,19,43,24,3681.638466,304.0865827,0.997920645,1.860465116,85.61949921,124.7294205,88.42631877,5,736.3276932,8.6,34,34,69,35,12372.56786,861.9228948,1.283839564,5.188405797,179.3125777,419.8971684,168.4087354
141112a,20,21,44,23,3002.808075,464.1411631,0.972465979,6.181818182,68.24563806,161.8837422,122.3429433,38,38,84,46,5862.374298,269.5277794,0.845158776,2.30952381,69.79017022,108.0600234,80.26924219,8,732.7967873,10.5,38,40,83,43,12601.20825,944.5201514,1.330285694,8.542168675,151.8217861,368.3484625,159.1406578
141113a,25,29,64,35,4809.00758,764.6947908,0.900648814,4.09375,75.14074343,214.0002468,147.2653435,22,22,50,28,3181.312091,203.8143972,0.885836521,2.08,63.62624182,90.59707262,65.25910053,6,530.2186818,8.333333333,36,37,76,39,10116.24751,921.909596,1.198651763,4.973684211,133.1085199,433.9411826,154.8051578
141117a,24,25,52,27,3721.495508,544.1870567,1.112570007,5.326923077,71.56722132,221.6060226,145.7814324,20,20,48,28,3200.463046,186.5519141,1.075150629,1.541666667,66.67631346,94.44520599,68.39462614,8,400.0578808,6,34,35,73,38,13040.53834,879.0730133,1.347063266,4.95890411,178.6375115,463.1865147,177.5636609
141117b,35,35,71,36,5443.785348,699.5974689,1.007012706,5.408450704,76.67303307,242.4000112,140.2052436,27,28,63,35,4366.265735,231.3395655,0.892636934,2.380952381,69.30580532,108.2608386,70.66810865,6,727.7109558,10.5,50,50,101,51,17196.36119,1060.49254,1.279609444,5.306930693,170.2610019,489.3201245,185.8584237
141117c,28,28,58,30,4011.951814,472.3951606,1.005571338,4.344827586,69.171583,207.1459722,136.0365699,19,19,45,26,2259.951537,154.9839238,1.096934721,1.733333333,50.22114527,71.42314661,51.46053215,7,322.8502196,6.428571429,21,21,43,22,7108.191581,762.1411272,1.527003862,4,165.3067809,320.0625071,142.9610737
150119b,26,26,53,27,3921.161478,686.6188324,1.012977392,5.094339623,73.98417882,204.1140642,136.2756157,20,20,46,26,3261.073447,215.6728997,0.900584525,1.739130435,70.89290102,102.3685219,72.4246163,6,543.5122412,7.666666667,53,53,107,54,22451.80363,1041.784049,1.565588319,6.355140187,209.8299405,434.6562433,162.1021537
