neuron_name,Soma_depth,Basal_Density,bas_turnover,Apical_Density,ap_turnover,Axon_Density,ax_turnover,number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_apical_dendrite_value,total_length_NeuriteType_apical_dendrite_value,ap_postsyn_num,principal_direction_extents_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,AD,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,total_length_NeuriteType_basal_dendrite_value,bas_postsyn_num,principal_direction_extents_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,number_of_neurites_NeuriteType_basal_dendrite_value,neurite_lengths_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_bifurcations_NeuriteType_axon_value,number_of_forking_points_NeuriteType_axon_value,number_of_sections_NeuriteType_axon_value,number_of_terminations_NeuriteType_axon_value,total_length_NeuriteType_axon_value,presynaptic_num,principal_direction_extents_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_axon_mean,section_branch_orders_NeuriteType_axon_mean,section_lengths_NeuriteType_axon_mean,section_path_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_axon_mean,number_of_bifurcations_NeuriteType_all_value,number_of_forking_points_NeuriteType_all_value,number_of_sections_NeuriteType_all_value,number_of_terminations_NeuriteType_all_value,total_length_NeuriteType_all_value,principal_direction_extents_NeuriteType_all_mean,remote_bifurcation_angles_NeuriteType_all_mean,section_branch_orders_NeuriteType_all_mean,section_lengths_NeuriteType_all_mean,section_path_distances_NeuriteType_all_mean,section_radial_distances_NeuriteType_all_mean,number_of_neurites_NeuriteType_all_value
140903a,280,0.97,11.1,1.2,8.6,0.24,13.5,22,22,45,23,3814.28906,4577.146872,629.4062254,1.161354039,5.822222222,84.76197911,253.0853107,176.5424064,1,21,21,46,25,3799.552894,3685.566307,345.1775423,0.998955562,2.260869565,82.59897595,142.9116616,97.0355955,4,949.8882234,11.5,20,20,41,21,8068.574547,1936.457891,961.269255,1.593499811,4.634146341,196.7945012,618.9657593,201.4067498,63,63,132,69,15682.4165,495.2309416,1.244410347,4.212121212,118.8061856,328.3361481,156.5585032,6
140904c,192,1.16,7.715,1,19.025,0.23,14.475,20,20,41,21,3234.44961,3234.44961,667.1100159,0.914303171,4.43902439,78.88901487,221.9651227,158.0842521,1,24,25,60,35,4623.456556,5363.209605,220.7927027,0.980811874,1.616666667,77.05760927,125.9249761,88.04880009,9,513.7173951,6.666666667,47,50,104,54,17081.21892,3928.680352,1075.842573,1.321477779,5.182692308,164.2424896,452.7471803,176.8122949,91,95,205,110,24939.12508,339.0988103,1.142142902,3.990243902,121.6542687,310.9354895,147.0871269,11
140908a,200,1.2,10.75,1.3,13.9,0.3,11.635,23,24,51,27,4335.76795,5636.498335,384.0615324,0.963293817,4.176470588,85.01505785,206.8584874,150.2653725,1,25,25,56,31,4106.44299,4927.731588,258.1777394,1.059622448,2.428571429,73.3293391,115.066883,84.389422,6,684.4071649,9.333333333,39,42,88,46,16081.92982,4824.578946,897.5321443,1.439711772,5.829545455,182.7492025,490.5083847,168.4831407,87,91,195,104,24524.14076,357.191294,1.204541128,4.420512821,125.7648244,308.503929,139.5685026,9
140908b,236,1.25,13.25,0.875,16.5,0.3,16.58333333,29,29,59,30,4391.516718,3842.577128,670.7651811,1.169156595,5.186440678,74.43248674,202.7653819,140.26657,1,19,19,43,24,3681.638466,4602.048082,304.0865827,0.997920645,1.860465116,85.61949921,124.7294205,88.42631877,5,736.3276932,8.6,34,34,69,35,12372.56786,3711.770358,861.9228948,1.283839564,5.188405797,179.3125777,419.8971684,168.4087354,82,82,171,89,20445.72304,436.1601413,1.177031447,4.350877193,119.5656318,270.7568844,138.5863279,7
141112a,114,1.3,7.67,1.45,8.05,0.325,9.1,20,21,44,23,3002.808075,4354.071709,464.1411631,0.972465979,6.181818182,68.24563806,161.8837422,122.3429433,0,38,38,84,46,5862.374298,7621.086587,269.5277794,0.845158776,2.30952381,69.79017022,108.0600234,80.26924219,8,732.7967873,10.5,38,40,83,43,12601.20825,4095.392681,944.5201514,1.330285694,8.542168675,151.8217861,368.3484625,159.1406578,96,99,211,112,21466.39062,356.4883549,1.063710515,5.568720379,101.7364484,221.6722702,120.0681538,10
141113a,160,1.15,7.325,1.1,13.965,0.34,5.7,25,29,64,35,4809.00758,5289.908338,764.6947908,0.900648814,4.09375,75.14074343,214.0002468,147.2653435,1,22,22,50,28,3181.312091,3658.508905,203.8143972,0.885836521,2.08,63.62624182,90.59707262,65.25910053,6,530.2186818,8.333333333,36,37,76,39,10116.24751,3439.524153,921.909596,1.198651763,4.973684211,133.1085199,433.9411826,154.8051578,83,88,190,102,18106.56719,363.6863463,1.025976955,3.915789474,95.29772203,269.5021016,128.7006789,8
141117a,196,1.4,6,1,10.25,0.3,7.25,24,25,52,27,3721.495508,3721.495508,544.1870567,1.112570007,5.326923077,71.56722132,221.6060226,145.7814324,1,20,20,48,28,3200.463046,4480.648264,186.5519141,1.075150629,1.541666667,66.67631346,94.44520599,68.39462614,8,400.0578808,6,34,35,73,38,13040.53834,3912.161502,879.0730133,1.347063266,4.95890411,178.6375115,463.1865147,177.5636609,78,80,173,93,19962.49689,291.5675383,1.205190305,4.121387283,115.3901554,288.2629979,137.7209467,10
141117b,186,1.45,8.25,1.15,15,0.3,14.125,35,35,71,36,5443.785348,6260.35315,699.5974689,1.007012706,5.408450704,76.67303307,242.4000112,140.2052436,1,27,28,63,35,4366.265735,6331.085316,231.3395655,0.892636934,2.380952381,69.30580532,108.2608386,70.66810865,6,727.7109558,10.5,50,50,101,51,17196.36119,5158.908357,1060.49254,1.279609444,5.306930693,170.2610019,489.3201245,185.8584237,112,113,235,122,27006.41228,393.5159253,1.101134948,4.553191489,114.9209033,312.5624093,141.1845274,8
141117c,123,1.52,9.145,1.44,8.575,0.23,13.48,28,28,58,30,4011.951814,5777.210612,472.3951606,1.005571338,4.344827586,69.171583,207.1459722,136.0365699,2,19,19,45,26,2259.951537,3435.126336,154.9839238,1.096934721,1.733333333,50.22114527,71.42314661,51.46053215,7,322.8502196,6.428571429,21,21,43,22,7108.191581,1634.884064,762.1411272,1.527003862,4,165.3067809,320.0625071,142.9610737,68,68,146,78,13380.09493,279.1818915,1.192129975,3.438356164,91.64448583,198.5698342,112.0080217,10
150119b,147,1.4,11.25,1.2,20.5,0.35,19.875,26,26,53,27,3921.161478,4705.393774,686.6188324,1.012977392,5.094339623,73.98417882,204.1140642,136.2756157,1,20,20,46,26,3261.073447,4565.502826,215.6728997,0.900584525,1.739130435,70.89290102,102.3685219,72.4246163,6,543.5122412,7.666666667,53,53,107,54,22451.80363,7858.131271,1041.784049,1.565588319,6.355140187,209.8299405,434.6562433,162.1021537,99,99,206,107,29634.03856,377.8050349,1.286113976,5,143.8545561,301.1418226,135.4323807,8
