,Soma_depth,Basal_Density,bas_turnover,Apical_Density,ap_turnover,Axon_Density,ax_turnover,number_of_bifurcations_NeuriteType_apical_dendrite_value,number_of_forking_points_NeuriteType_apical_dendrite_value,number_of_sections_NeuriteType_apical_dendrite_value,number_of_terminations_NeuriteType_apical_dendrite_value,total_length_NeuriteType_apical_dendrite_value,principal_direction_extents_NeuriteType_apical_dendrite_mean,remote_bifurcation_angles_NeuriteType_apical_dendrite_mean,section_branch_orders_NeuriteType_apical_dendrite_mean,section_lengths_NeuriteType_apical_dendrite_mean,section_path_distances_NeuriteType_apical_dendrite_mean,section_radial_distances_NeuriteType_apical_dendrite_mean,AD,number_of_bifurcations_NeuriteType_basal_dendrite_value,number_of_forking_points_NeuriteType_basal_dendrite_value,number_of_sections_NeuriteType_basal_dendrite_value,number_of_terminations_NeuriteType_basal_dendrite_value,total_length_NeuriteType_basal_dendrite_value,principal_direction_extents_NeuriteType_basal_dendrite_mean,remote_bifurcation_angles_NeuriteType_basal_dendrite_mean,section_branch_orders_NeuriteType_basal_dendrite_mean,section_lengths_NeuriteType_basal_dendrite_mean,section_path_distances_NeuriteType_basal_dendrite_mean,section_radial_distances_NeuriteType_basal_dendrite_mean,number_of_neurites_NeuriteType_basal_dendrite_value,neurite_lengths_NeuriteType_basal_dendrite_mean,number_of_sections_per_neurite_NeuriteType_basal_dendrite_mean,number_of_bifurcations_NeuriteType_axon_value,number_of_forking_points_NeuriteType_axon_value,number_of_sections_NeuriteType_axon_value,number_of_terminations_NeuriteType_axon_value,total_length_NeuriteType_axon_value,principal_direction_extents_NeuriteType_axon_mean,remote_bifurcation_angles_NeuriteType_axon_mean,section_branch_orders_NeuriteType_axon_mean,section_lengths_NeuriteType_axon_mean,section_path_distances_NeuriteType_axon_mean,section_radial_distances_NeuriteType_axon_mean,number_of_bifurcations_NeuriteType_all_value,number_of_forking_points_NeuriteType_all_value,number_of_sections_NeuriteType_all_value,number_of_terminations_NeuriteType_all_value,total_length_NeuriteType_all_value,principal_direction_extents_NeuriteType_all_mean,remote_bifurcation_angles_NeuriteType_all_mean,section_branch_orders_NeuriteType_all_mean,section_lengths_NeuriteType_all_mean,section_path_distances_NeuriteType_all_mean,section_radial_distances_NeuriteType_all_mean,number_of_neurites_NeuriteType_all_value
0,280.0,0.97,11.1,1.2,8.6,0.24,13.5,22.0,22.0,45.0,23.0,3814.28906,629.4062253999999,1.1613540390000001,5.822222222000001,84.76197911,253.08531069999998,176.5424064,1.0,21.0,21.0,46.0,25.0,3799.552894,345.17754229999997,0.998955562,2.260869565,82.59897595,142.9116616,97.0355955,4.0,949.8882233999999,11.5,20.0,20.0,41,21,8068.574547,961.269255,1.593499811,4.634146341,196.79450119999998,,201.4067498,63.0,63.0,132.0,69.0,15682.4165,495.2309416,1.244410347,4.212121212,118.80618559999999,328.3361481,156.5585032,6.0
1,192.0,1.16,7.715,1.0,19.025,0.23,14.475,20.0,20.0,41.0,21.0,3234.44961,667.1100159,0.9143031709999999,4.43902439,78.88901487,221.9651227,158.0842521,1.0,24.0,25.0,60.0,35.0,4623.456556,220.79270269999998,0.980811874,1.6166666669999998,77.05760927,125.9249761,88.04880009,,513.7173951000001,6.666666667,47.0,50.0,104,54,17081.21892,1075.8425730000001,1.321477779,5.182692308,164.2424896,452.7471803,176.8122949,91.0,95.0,205.0,110.0,24939.12508,339.0988103,1.142142902,3.990243902,121.65426869999999,310.9354895,147.08712690000002,
2,200.0,1.2,10.75,1.3,13.9,0.3,11.635,23.0,24.0,51.0,27.0,4335.76795,384.0615324,0.963293817,4.176470588,85.01505785,206.8584874,150.2653725,1.0,25.0,25.0,56.0,31.0,4106.44299,258.1777394,1.059622448,2.4285714290000002,73.3293391,115.066883,84.389422,6.0,684.4071649,9.333333332999999,39.0,42.0,88,46,16081.92982,897.5321443,1.439711772,5.829545455,182.7492025,490.5083847,168.48314069999998,87.0,91.0,195.0,104.0,24524.14076,357.19129399999997,1.204541128,4.420512821,125.7648244,308.503929,139.5685026,9.0
3,236.0,1.25,13.25,0.875,16.5,0.3,16.58333333,29.0,29.0,59.0,30.0,4391.516718,670.7651811000001,1.169156595,5.186440678,74.43248674,202.76538190000002,140.26657,1.0,19.0,19.0,43.0,24.0,3681.6384659999994,304.0865827,0.997920645,1.8604651159999999,85.61949921,124.7294205,88.42631877,5.0,736.3276932,8.6,34.0,34.0,69,35,12372.56786,861.9228947999999,1.283839564,5.188405797,179.31257769999996,419.89716839999994,168.4087354,82.0,82.0,171.0,89.0,20445.72304,436.16014129999996,1.177031447,4.3508771930000005,119.56563179999999,270.75688439999993,138.58632790000001,7.0
4,114.0,1.3,7.67,1.45,8.05,0.325,9.1,20.0,21.0,44.0,23.0,3002.808075,464.1411631,0.9724659790000001,6.181818182000001,68.24563806,161.88374219999997,122.3429433,0.0,38.0,38.0,84.0,46.0,5862.374298,269.5277794,0.8451587759999999,2.30952381,69.79017022,108.06002340000002,80.26924219,8.0,732.7967873,10.5,38.0,40.0,83,43,12601.20825,944.5201514,1.330285694,,151.8217861,368.3484625,159.1406578,96.0,99.0,211.0,112.0,21466.39062,356.4883549,1.063710515,,101.7364484,221.6722702,120.06815379999999,10.0
5,160.0,1.15,7.325,1.1,13.965,0.34,5.7,25.0,29.0,64.0,35.0,4809.0075799999995,764.6947908,0.9006488140000001,4.09375,75.14074343,214.00024680000004,147.2653435,1.0,22.0,22.0,50.0,28.0,3181.3120910000002,203.81439719999997,0.885836521,2.08,63.62624182,90.59707262,65.25910053,6.0,530.2186818,8.333333332999999,36.0,37.0,76,39,10116.24751,921.9095960000001,1.198651763,4.973684211,,433.94118260000005,154.80515780000002,83.0,88.0,190.0,102.0,18106.56719,363.6863463,1.025976955,3.915789474,95.29772203,269.5021016,128.7006789,8.0
6,196.0,1.4,6.0,1.0,10.25,0.3,7.25,24.0,25.0,52.0,27.0,3721.495508,544.1870567000001,1.112570007,5.326923077,71.56722132,221.6060226,145.7814324,1.0,20.0,20.0,48.0,28.0,3200.4630460000003,186.55191409999998,1.0751506290000001,1.5416666669999999,66.67631346,94.44520599,68.39462614,8.0,400.0578808,6.0,34.0,35.0,73,38,13040.538340000001,879.0730133,1.347063266,4.95890411,178.6375115,463.1865147,177.56366090000003,78.0,80.0,173.0,93.0,19962.496890000002,291.56753829999997,1.205190305,4.121387283,115.3901554,288.26299789999996,137.72094669999998,10.0
7,186.0,1.45,8.25,1.15,15.0,0.3,14.125,35.0,35.0,71.0,36.0,,699.5974689,1.007012706,5.408450704,76.67303307,242.40001119999997,140.2052436,1.0,27.0,28.0,63.0,35.0,4366.265735,231.3395655,0.8926369340000001,2.3809523809999997,69.30580532,108.2608386,70.66810865,6.0,727.7109558,10.5,50.0,50.0,101,51,17196.36119,1060.49254,1.279609444,5.306930693,170.2610019,489.3201245,185.8584237,,,,122.0,27006.41228,393.5159253,1.101134948,4.553191489,114.9209033,312.5624093,141.1845274,8.0
8,123.0,1.52,9.145,1.44,8.575,0.23,13.48,28.0,28.0,58.0,30.0,4011.951814,472.39516060000005,1.005571338,4.344827586,69.171583,207.1459722,136.0365699,,19.0,19.0,45.0,26.0,2259.951537,154.9839238,1.096934721,1.733333333,,,,7.0,322.85021960000006,6.428571429,21.0,21.0,43,22,7108.191581,762.1411272,1.527003862,4.0,165.3067809,320.06250710000006,142.9610737,68.0,68.0,146.0,78.0,13380.09493,279.1818915,1.192129975,3.4383561639999995,91.64448583,198.5698342,112.0080217,10.0
9,147.0,1.4,11.25,1.2,,0.35,19.875,26.0,26.0,53.0,27.0,3921.161478,686.6188324,1.012977392,5.094339623,73.98417882,204.1140642,136.2756157,1.0,20.0,20.0,46.0,26.0,3261.0734469999998,215.6728997,0.900584525,1.739130435,70.89290102,102.3685219,72.4246163,6.0,543.5122412000001,7.666666667,53.0,53.0,107,54,,1041.784049,1.565588319,6.355140187000001,209.8299405,434.6562433,162.10215369999997,99.0,99.0,206.0,107.0,29634.03856,377.8050349,1.286113976,5.0,143.8545561,301.1418226,135.43238069999998,8.0
10,140.0,,15.0,,15.0,0.25,18.25,29.0,29.0,59.0,30.0,3038.540111,554.2768242999999,1.0431545709999999,6.372881356000001,,193.668395,127.92623400000001,0.0,29.0,29.0,63.0,34.0,3676.6845590000003,236.85581009999999,0.952963844,2.285714286,58.36007236,98.88229343,69.78528262,5.0,735.3369117999999,12.6,22.0,22.0,45,23,7014.1941400000005,882.7820759,1.47401777,4.177777778,155.8709809,307.95360560000006,145.34394269999999,80.0,80.0,167.0,87.0,13729.41881,374.47685010000004,1.128947812,4.239520958,82.21208868,188.70617990000002,110.6862158,7.0
